01_d11_WT_rep1	02_d13_WT_rep1	03_d11_KO_Lhx8_rep1	04_d13_KO_Hes6_rep1	05_d13_KO_Tbpl2_rep1	06_d13_KO_Thap7_rep1	07_d13_KO_Ybx3_rep1	08_d13_KO_Ell3_rep1	09_d13_KO_Foxr1_rep1	10_d13_KO_Mef2b_rep1	11_d13_KO_Ccnk_rep1	12_d13_KO_Sfr1_rep1	13_d11_KO_Sub1_rep1	14_d13_KO_Tcf25_rep1	15_d13_KO_Kdm1b_rep1	16_d13_KO_Nobox_rep1	17_d11_KO_Stat3_rep1	18_d13_KO_Noto_rep1	21_d13_KO_Dynll1_rep1	25_d11_WT_rep2	26_d13_WT_rep2	27_d11_KO_Lhx8_rep2	28_d13_KO_Hes6_rep2	29_d13_KO_Tbpl2_rep2	30_d13_KO_Thap7_rep2	31_d13_KO_Ybx3_rep2	32_d13_KO_Ell3_rep2	33_d13_KO_Foxr1_rep2	34_d13_KO_Mef2b_rep2	35_d13_KO_Ccnk_rep2	36_d13_KO_Sfr1_rep2	37_d11_KO_Sub1_rep2	38_d13_KO_Tcf25_rep2	39_d13_KO_Kdm1b_rep2	40_d13_KO_Nobox_rep2	41_d11_KO_Stat3_rep2	42_d13_KO_Noto_rep2	45_d13_KO_Dynll1_rep2
LTR	28554.0835953117	26962.6786076943	10064.7022328346	52934.6789509158	15123.8260074336	27827.6872774449	66864.6905857328	78306.7053779961	68698.4681786397	31795.5669102174	50454.7422132357	78934.2047827124	21651.8393873524	106362.618528188	65846.9584522287	24640.7580677662	19771.7553585624	53289.8502862749	30869.3440950845	23425.8876594705	65627.5308632411	27227.8388431328	170387.631782046	26713.6129565175	75024.9691304286	43642.2128439229	66256.2759494185	39779.317038194	103861.070063177	44147.9438077629	83788.786622044	32472.1286966577	64357.9595395101	57331.6339255921	24233.4933641553	19233.2422557383	109546.687568497	17355.4391939712
scRNA	506.624378486422	358.671533165758	249.465888006669	350.514521829181	153.570453798806	400.837606022911	712.184250974947	745.834605203913	383.76989843316	243.037006068832	193.606788269763	281.062610461263	292.122784710176	818.941868425451	773.837795315289	239.632844690375	354.388353950904	623.68393091724	868.729833604824	447.445511811116	961.852572950546	504.23112143225	904.88602362895	504.377871652238	672.756801183211	485.986970077548	584.570141382645	400.299194195466	280.241442943128	342.255754570253	403.850905564684	548.546988999456	382.154779763208	746.097005093329	230.15895805809	392.013513252453	1390.56966372236	772.734330090443
LINE	14676.7643610392	7109.21208950829	7461.20305784347	7107.12823076334	8133.88199135749	7721.32317124469	18413.913899897	13914.81547601	13824.4585307972	10829.5716607934	10221.2727891835	12950.0800112043	20367.6725133158	24836.5018961613	14062.0093187808	13239.073145735	15543.5201531707	14754.851013526	27729.6711314066	12411.1331049842	14235.1598263724	18589.4571075588	24110.849743525	18815.9611894997	14128.0962517913	13241.240847032	14536.5918312175	14014.4315130662	13044.6808929262	11522.76454259	16200.1944353269	28551.2315729198	14053.6229093856	12789.4525340588	12968.8063583003	16562.8497429824	33291.5959889747	16614.5664669435
SINE	22783.2623008087	11796.609839675	13248.632699638	11860.492552431	11965.4888203199	25023.2638503751	22810.6340664871	21185.5138580758	23218.7243294804	17574.8968862396	14598.4319945842	28574.1196471521	29745.1696324412	19934.6522384638	12966.5194726225	34972.9160184155	31072.8378298315	26770.0644621888	40184.3849554133	24396.9980788357	27814.3910574565	30469.6029972817	36649.0316071109	54068.7806833744	18672.7678387564	22457.4412039054	25644.9683313948	23945.4521264344	17887.2747758562	27781.164632647	23933.2217639102	25646.948035195	11248.1102027115	29369.4616386488	26573.2351262264	34269.5353164579	44819.6692463833	31994.0889893834
Simple_repeat	10653.368276401	4024.54173437299	4335.46491090898	4937.78391108294	5196.75232787265	10234.091116701	10361.8035900998	10970.8024202362	9804.98363113114	6808.75695248349	8598.34225727347	10742.4583070282	8909.59327592982	7894.87910165996	9170.73673023837	7645.01361333734	9723.32212672807	10121.8196088739	15832.8233526189	8953.39057143806	10276.9279607554	9971.22736635688	16982.6942952631	19353.6086007319	9391.88622480302	9776.20092037552	10755.1793172773	8510.15167492792	10718.9687928151	9626.03893924112	8982.68853597775	7885.4484730292	7794.10354023154	7590.56326952124	9230.93795758886	10009.3955433268	17964.7951566177	9691.91637480088
DNA	1679.91615292372	800.863151064808	1051.74107057803	840.506853088719	974.766694638043	1916.36037420952	2113.658887175	1520.53550191352	1668.59501710491	1312.99149214084	1501.82912206632	2012.25244421157	2170.31793445035	1752.33062270023	1819.02694928236	2152.36467450694	2267.18396959921	2154.29311014924	3070.32061291917	1678.00887427513	1942.63666772762	2377.14659556039	2815.58012907762	4829.35031861782	1555.52816164747	1606.00296175246	1599.94137222468	1805.28241261701	1777.08811670933	1841.94253400767	1791.11441865305	2263.18230999235	1628.80173042987	1580.9035640331	2028.69851372133	2892.4482904235	3208.66885002448	2233.43323892348
Satellite	800.730320780133	451.806132888122	1128.02400797	1131.86004173612	984.229057467866	1820.5132887462	2121.93720094932	2005.89143666007	1947.4620219906	1446.92803042816	2915.55140914791	1659.88048557528	1510.41372317269	2125.05269901749	2166.71624978736	1474.73976226113	2821.47647683023	2033.0604932116	1889.85097622021	696.192948294327	2744.75763348042	1927.84027660579	3995.23024918564	3555.79229111137	1922.25172417592	1787.21227036884	1838.47489934948	1946.54520856783	3549.54152795363	1372.17197087079	1954.21571074634	1814.81083555816	2012.95456573924	1507.51619146872	2395.28127707797	2245.8614741955	1701.64658217504	1351.44750152494
Low_complexity	3215.25172795656	2827.96215951915	2997.17334089126	3872.32561195999	3741.05069496022	6679.39731915403	5708.86373012275	6614.89719235623	6136.58303468092	5368.29408469206	9355.60778846086	6767.16641382009	7626.1216724855	7240.27216278137	6285.72324277237	7549.04918889029	8172.54946121698	6401.02437426205	5574.60949080944	5418.17617520963	5890.98119469464	8024.63377384477	12101.9562454352	13721.1681037683	5276.26682021214	5678.55403995495	6568.12744434792	6918.05598485434	11872.0651386303	5825.29915983135	7542.29950650039	7062.25240950346	5643.13512330802	6927.27607424354	7335.3386918235	7099.86317507235	5548.37894450858	7068.65211390685
Other	174.674754415059	152.857113728504	112.132869668119	146.502015242072	140.318063125304	241.337695558951	254.552191053311	290.751733927381	259.491647829187	224.133586546065	508.166690892174	310.52526343028	219.261940453603	276.049941721586	311.584723245844	330.047330535635	262.049754590309	293.996459036641	185.055791093297	286.579792327779	331.877122324191	240.217473155198	578.559185052915	423.276384652812	221.993189872074	231.179336361295	262.070713797879	280.40230776015	585.844027142869	261.221809348035	279.886792780847	219.962486673474	284.675623747803	284.869407660248	350.58527329085	249.519659936067	313.641068939709	217.957866628947
snRNA	24.6604124034558	15.62754165232	21.3770166140826	18.6494682002276	20.3675826810538	14.8046464239194	27.1745024879225	42.1769910352844	31.8226781334187	25.3773972941335	41.3127787634293	31.3922281485267	51.4878755000082	28.583469714152	29.0229721253371	99.361115084591	50.4880511612252	32.6248532336533	58.7498060199977	37.7968449265413	28.9849396797713	93.9133934368603	56.1525010079419	48.7743906876215	15.6292250398556	42.3683566933392	28.3097850927166	35.0664035896478	51.7002627464271	31.8500910932637	33.5075243584694	45.8953992983553	29.2574485608201	79.6625433884105	33.9664104155453	55.9951664265252	41.3424560881465	68.8702126305729
Unknown	774.58252130746	696.103463501216	715.072744832244	1150.00187107459	675.452793385855	854.296426920332	1442.83169795112	1463.07122079925	1675.14303318832	1313.04465102854	2355.1900592626	1394.59860568649	1124.64246178343	1632.87467083938	1673.52069005486	2527.99434096668	1457.43446469091	1865.21273638478	1481.8822531525	1277.58120771662	2144.33236637875	1626.83191517869	3160.71960870846	1439.30460296615	1488.57659647377	1251.53138461213	1691.71424770497	1779.06661579698	2858.09076202016	1245.27289467503	1754.5017907187	1013.41511642491	1672.31328722664	2840.21763780726	1461.90398792131	1666.98280825008	1792.09489252786	1622.2394148831
SINE?	1.27286836661577	0.67407563872846	1.55682703082847	0.833124678325755	1.12396243214445	0.959591625719487	0.682397829145108	2.11002711741084	1.46555308081374	1.29572986219312	1.82406397806184	1.89538045153934	2.08640655070163	3.38502408390905	3.68675171523509	1.85659014939981	2.39960217944147	2.29658300058397	1.94992600843267	3.12771096370006	3.53279980072614	2.17894146639044	2.83666709065027	2.58798953603134	1.44668339778763	0.685073739419105	1.70537085767417	2.3702375527923	3.08687750133543	2.2588780723825	2.49819731728748	0	1.77800791940416	1.49725012048372	1.00448463325457	1.43227757025667	1.86867909141464	2.23793112057849
srpRNA	92.1376152160936	7.39903418635166	21.2180207526352	3.40847602776204	10.2943760004197	6.74850160401477	31.3459411049441	9.85288397031812	9.40309321019878	5.48702081012284	7.93758820612256	3.85784668705296	36.3212018988066	13.2545292039935	88.1909551356413	35.6210067179511	46.1010752482011	14.7767893811683	40.6642486226611	54.5287977184297	135.339498099929	22.6995035459986	14.6876829298917	37.6528547438955	11.6903703058052	35.3456622428881	14.9274104711906	11.8090230478731	9.7914328200525	26.6092502260832	9.56828290274147	36.1621342425212	26.3672957701458	105.013194239073	20.7469146833928	28.0528110908116	9.13283764375332	15.2409683063934
tRNA	1287.94171587329	932.56775944672	2791.33869612051	1436.72053634032	1577.12490377575	1759.35173150988	1644.78211390618	2190.50381268779	1903.34284595495	1447.52672270954	1145.56371118839	1370.69261962335	1656.25222441176	1512.67106963116	1911.61508203782	2615.66412734353	1488.53050495948	2131.18629939149	2159.38037984927	2603.16049764315	4002.61126131802	3540.41723585018	5165.20189240069	3437.79463760574	2280.0445295064	2948.66518277851	2887.95694079789	1735.82360370989	1612.66326260482	1398.36515001732	1563.93209225621	2072.01899203134	1449.1018384278	2901.04576433334	1257.5020476954	1862.60855553959	2072.53617686565	3141.69234410015
LTR?	8.57002129180149	6.53679382133881	25.7527020723199	8.39860762804514	7.70466555034624	6.28309491606083	21.3547162349176	13.8018704079216	15.4448498058852	11.2663853317336	9.04342410905334	13.4841811039073	13.8932954354194	12.2573530395331	19.0251067570795	24.5547073969863	15.0072589176677	21.550383451326	8.83867399687363	19.2966153605922	39.1081731470347	20.5640326307949	22.5213300702428	18.388885551747	11.2705446795399	20.9572869534602	19.4823001700792	13.59459322689	13.3470471577347	10.7272938741611	14.413951477378	10.5786286015101	16.7496787063989	15.9020962190007	14.4879766021774	15.7853127191242	17.892270157805	10.1973983612885
RNA	2.86345062981597	4.19956929217339	51.1785169755915	3.89183503026403	60.1750114447965	5.75137560476871	51.1940217471162	15.0859584890859	7.1956716141643	5.53712648507422	10.9741988700801	9.57035496537424	25.9168264434444	9.75570920558124	12.6440044755005	110.812909035474	22.4546461015647	15.6154376972741	65.5051231707384	17.9381602622835	10.8143668864086	78.2087142478793	13.6512136275246	156.587703651441	8.59746930104242	152.541832060505	7.00631183484419	10.6583185862931	8.32525431523317	18.9287083967054	7.00926682445416	20.2558299569699	8.61820116372554	13.1335752226304	45.149524414411	53.8885693082399	13.6087705190223	111.108604701502
RC	2.96245175716746	5.71254601825538	4.48547321452177	7.02738650045556	3.57874618713224	5.99326827960645	5.16164709064214	19.3955207605363	11.9598276786107	11.528938687273	10.8127001705356	14.4090131151107	2.40956128090152	11.1019398097785	12.2245038809583	4.32881314198811	4.135840140404	5.2096005123041	5.4620204272775	8.43832939752445	17.2558793076308	5.67692788470965	30.4622875448696	6.9242614104191	7.99904373696005	11.2025852668615	11.805706187907	16.7847783829416	14.6767999179997	8.34914778632581	18.3551874045145	2.31722731232136	7.72073929323681	5.4883166621635	5.99070177913065	4.10756963470131	7.77643586256458	7.94536857361409
rRNA	585.448486155613	205.452191076037	1456.35138843307	164.015319347589	1470.53228019583	323.780240152952	920.615894622073	1139.40734168811	438.401737713772	484.677790886685	809.84218653003	595.667160431566	1772.9265983	29321.7269239044	931.524007155145	2239.59961882694	1617.47392646607	681.922400217777	2371.69122747105	1144.09786514916	1563.03574571407	1975.29799989329	595.229826740957	3849.36341935575	549.116828167745	2004.75802132288	377.546710349099	449.389434888464	749.584056408326	990.190150266559	702.787648493605	1954.73479815023	27318.8167876206	925.686054944065	2087.9189898787	1869.67584667304	664.801523876764	3591.47874949301
DNA?	4.6623670500569	4.08544484231972	5.27431847906828	2.33166558008695	6.12370105775454	6.22874312258937	13.4986155819859	13.6602529091477	10.5594641629958	9.26435427999026	9.3929501082906	9.97827497666438	18.2333886774563	8.54486004182011	11.3082160610671	10.0912173517978	15.1429667173643	10.3268201612955	11.9105847329185	6.70967218629151	11.0186257334991	5.21445211546719	17.4525480146004	10.0663573687345	10.1389601482472	13.9448415114216	8.18430013717288	10.4476518671541	9.97097780726233	8.80589279924951	16.7139396210016	13.2315145799929	8.37067947508873	9.14516572506674	10.3275033012425	10.700980312067	14.1829989253832	13.0614951893141
RC?	0	0	0	0.0250656978206303	0.075138468927463	0.0925766174114831	0	0	0.0500169857683669	0.0858899084911737	0	0.241480565644077	0.836013825885184	0.308242981407492	0.372995075176479	0	0.107730939178398	0	0.103756446820359	0	0	0.225591280385673	0	0	0	0	0.200067943073468	0.114519877988232	0.116374141351582	0.0905552121165289	0.222937020236049	0	0.135634572791447	0.40674734183833	0	0.28347779775312	0	0.559473861828754
LINE?	0	0.053522020578307	0.116314136450847	0.0272959131658043	0	0	0	0.140312613697065	0	0	0	0.104588701141421	0	0	0	0	0	0	0.22430279801078	0.0267610102891535	0	0	0.246626546190878	0.0266464196511589	0	0	0.0259641157745115	0	0	0.261471752853552	0	0	0	0	0	0	0	0
